"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"DALEX: Lokalne, brzegowe i globalne objaśnienia złożonych modeli uczenia maszyn";"dr hab. Przemysław Biecek";"2018-08-08";"2021-08-07";"
    •  budżet - NCN

";542660;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych

";"
    •  Koszykowa 75, Warszawa

";"W trakcie realizacji";
"Wpływ rodzaju oraz ilości użytego surfaktantu na właściwości wysokoporowatych rusztowań typu cementowego do zastosowań w inżynierii tkanki kostnej.";"Ewelina Magdalena Cichoń";"2018-08-08";"2021-08-07";"
    •  budżet - NCN

";205800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Realistyczne symulacje numeryczne dwu-płynowej granulacji Słońca w częściowo zjonizowanej plazmie";"mgr inż. Dariusz Patryk Wójcik";"2018-08-03";"3 lata";"
    •  budżet - NCN

";86400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Idziego Radziszewskiego 10, Lublin

";"W trakcie realizacji";
"Pedogeneza i przemiany minerałów w glebach zasobnych w węglan wapnia w ujęciu badań interdyscyplinarnych na obszarze polskich Karpat";"Joanna Beata Kowalska";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";135100;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Rolniczo-Ekonomiczny

";"
    •  Aleja Adama Mickiewicza 21, Kraków

";"W trakcie realizacji";
"Polowanie na Galaktyczne pevatrony z obserwatorium HAWC";"dr hab. Sabrina Casanova";"2018-08-03";"2021-08-02";"
    •  budżet - NCN

";954800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Generatory promieniowania sub-terahercowego oparte na sprzężonych oscylatorach Gunna";"mgr Dmitriy Yavorskiy";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";140 000,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Nowe mikro- i nanokrystaliczne materiały luminoforowe oraz dielektryki mikrofalowe oparte na wybranych matrycach szelitowych";"Magdalena Maciejkowicz";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie

";"
    •  Piastów 17, Szczecin

";"W trakcie realizacji";
"Badanie mechanizmu inkorporacji selenu do struktury egzopolisacharydów pochodzenia grzybowego oraz wpływu tego zjawiska na ich aktywność biologiczną.";"mgr Sandra Górska";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";140000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Warszawski Uniwersytet Medyczny; Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej

";"
    •  Stefana Banacha 1, Warszawa

";"W trakcie realizacji";
"Zbadanie rozkładu wielkości organizmów planktonowych oraz ich rozmieszczenia przestrzennego w Arktyce w relacji do gradientów środowiskowych - doskonalenie metodyki badań";"dr Emilia Małgorzata Trudnowska";"2018-08-01";"2019-07-31";"
    •  budżet - MNiSW

";217800;"Projekt finansowany przez ministra właściwego do spraw nauki";"Mobilność Plus; edycja 5";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Nieliniowe równania z operatorem curl-curl";"dr hab. Jarosław Szymon Mederski";"2018-08-01";"2023-07-31";"
    •  budżet - NCN

";1090012;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Matematyczny Polskiej Akademii Nauk

";"
    •  Jana i Jędrzeja Śniadeckich 8, Warszawa

";"W trakcie realizacji";
"Trójwymiarowe izolatory topologiczne napromieniowane wiązką elektronową.";"Myroslava Mykolaivna Omelchenko";"2018-08-01";"2021-07-31";"
    •  budżet - NCN

";209860;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Plastyczność ekologiczna kluczowych gatunków zooplanktonu w Arktyce (ecoPlast)";"dr Emilia Małgorzata Trudnowska";"2018-07-31";"2021-08-30";"
    •  budżet - NCN

";577700;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Badanie właściwości detoksykacyjnych nanocząstek selenu w odniesieniu do różnych form chemicznych rtęci z wykorzystaniem nowych metod analitycznych";"Magdalena Bartosiak";"2018-07-31";"2 lata";"
    •  budżet - NCN

";134380;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Chemiczny

";"
    •  Stanisława Noakowskiego 3, Warszawa

";"W trakcie realizacji";
"Szybkie układy scalone do precyzyjnego pomiaru czasu w strukturach pikselowych w technologiach nanometrycznych.";"dr Bogdan Staszewski";"2018-07-31";"2 lata";"
    •  budżet - NCN

";1828600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Elektrotechniki, Automatyki, Informatyki i Inżynierii Biomedycznej

";"
    •  Aleja Adama Mickiewicza 30/B-1, Kraków

";"W trakcie realizacji";
"Charakterystyka fazowa i fizykochemiczna oraz właściwości sorpcyjne osadów żelazistych z procesów uzdatniania wody.";"Magdalena Wołowiec";"2018-07-31";"2 lata";"
    •  budżet - NCN

";133510;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Nowa metoda przewidywania wartości funkcji termodynamicznych dla minerałów z grupy apatytów";"Bartosz Puzio";"2018-07-31";"2 lata";"
    •  budżet - NCN

";199765;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Efektywne metody percepcji sceny w czasie rzeczywistym w oparciu o analizę danych wielomodalnych oraz nienadzorowane uczenie cech";"dr hab. Bogdan Wiesław Kwolek";"2018-07-31";"2 lata";"
    •  budżet - NCN

";898780;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji

";"
    •  Aleja Adama Mickiewicza 30/D-17, Kraków

";"W trakcie realizacji";
"Mechanizmy koordynacji cyklu komórkowego bakterii - trop DiaA";"dr Monika Glinkowska";"2018-07-31";"2 lata";"
    •  budżet - NCN

";1033400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Biologii

";"
    •  Wita Stwosza 59, Gdańsk

";"W trakcie realizacji";
"Regulacja fotomorfogenezy Arabidopsis thaliana przez Elongator - białkowy kompleks epigenetycznie regulujący ekspresję genów.";"dr Magdalena Paula Wołoszyńska";"2018-07-31";"2 lata";"
    •  budżet - NCN

";735300;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Przyrodniczy we Wrocławiu; Wydział Biologii i Hodowli Zwierząt

";"
    •  Józefa Chełmońskiego 38C/351, Wrocław

";"W trakcie realizacji";
"Warstwy hybrydowe otrzymywane w procesie PACVD - nowe perspektywy pasywacji diod organicznych";"Katarzyna Marlena Dyndał";"2018-07-31";"2 lata";"
    •  budżet - NCN

";140000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Efekty kwantowe w termodynamice: rola stanu próżni i pomiaru w paradygmacie operacji termicznych.";"Patryk Jan Lipka-Bartosik";"2018-07-31";"2 lata";"
    •  budżet - NCN

";57400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Gdański; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Wita Stwosza 57, Gdańsk

";"W trakcie realizacji";
"WNIOSEK O PRZYZNANIE STYPENDIUM DOKTORANCKIEGO W RAMACH PROGRAMU „DOKTORAT WDROŻENIOWY”";"dr hab. Stanisław Czapp";"2018-07-27";"2022-09-30";"
    •  budżet - MNiSW

";170520;"Inne programy";"Inny program („Doktorat wdrożeniowy”)";"
    •  Politechnika Gdańska; Wydział Elektrotechniki i Automatyki

";"
    •  Gabriela Narutowicza 11/12, Gdańsk

";"W trakcie realizacji";
"Metody bezznacznikowe do badania wpływu modyfikacji powierzchni na diagnostykę i prognostykę czerniaka";"Anna Wanda Sobiepanek";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";210000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Chemiczny

";"
    •  Stanisława Noakowskiego 3, Warszawa

";"W trakcie realizacji";
"Znaczenie przywództwa pozytywnego we wspieraniu przedsiębiorczych zachowań pracowników i organizacji";"dr hab. Przemysław Zbierowski";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";376320;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Ekonomiczny w Katowicach; Wydział Zarządzania

";"
    •  1 Maja 50, Katowice

";"W trakcie realizacji";
"Rola hsa-mir-184 w patogenezie i inwazyjnym wzroście gonadotropowych gruczolaków przysadki";"Joanna Boresowicz";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";210000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie

";"
    •  Wawelska 15B, Warszawa

";"W trakcie realizacji";
"Procesy sterujące powstawaniem krzemieni i ławic krzemionkowych w utworach górnej jury na Wyżynie Krakowsko-Częstochowskiej";"prof. dr hab. JACEK MARIAN MATYSZKIEWICZ";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";584395;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Ewolucja i geneza turmalinów wschodniej osłony metamorficznej granitu karkonoskiego rejonu Kowar-Czarnowa";"Mateusz Przemysław Sęk";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";207225;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Wpływ magnetycznych domieszek na stany związane w nadprzewodnikach";"Szczepan Głodzik";"2018-07-26";"2020-07-25";"
    •  budżet - NCN

";94600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Idziego Radziszewskiego 10, Lublin

";"W trakcie realizacji";
"Toksyczność i biodegradacja broni chemicznej zatopionej w środowisku morskim (CWA - tox)";"Michał Józef Czub";"2018-07-26";"2020-07-25";"
    •  budżet - NCN

";139870;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Poznanie molekularnych podstaw regulacji aktywności lizosomu, potencjalnego celu interwencji terapeutycznej w chorobach zapalnych skóry, na przykładzie łuszczycy";"dr hab. Magdalena Angelina Gabig-Cimińska";"2018-07-26";"2021-07-25";"
    •  budżet - NCN

";1999400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Biologii

";"
    •  Wita Stwosza 59, Gdańsk

";"W trakcie realizacji";
"Supramolekularne kompleksy pillar[n]arenów modyfikowanych grupami karboksylowymi z pochodnymi guanidyny i amidyny";"mgr inż. Helena Lidia Butkiewicz";"2018-07-24";"2021-07-23";"
    •  budżet - NCN

";209795;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Instytut Chemii Fizycznej Polskiej Akademii Nauk

";"
    •  Marcina Kasprzaka 44/52, Warszawa

";"W trakcie realizacji";
"Określenie stabilności i aktywności wymiotnej enterotoksyn gronkowców koagulazoujemnych. Ocena zagrożenia bezpieczeństwa żywności.";"prof. dr hab. Jacek Piotr Bania";"2018-07-24";"2020-07-23";"
    •  budżet - NCN

";730800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Przyrodniczy we Wrocławiu; Wydział Medycyny Weterynaryjnej

";"
    •  Cypriana Kamila Norwida 31, Wrocław

";"W trakcie realizacji";
"Miedź o strukturze ultradrobnoziarnistej do zastosowań jako przewodzące elementy konstrukcyjne";"inż. Marta Ciemiorek";"2018-07-23";"2021-07-22";"
    •  budżet - NCN

";183240;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Materiałowej

";"
    •  Wołoska 141, Warszawa

";"W trakcie realizacji";
"Powierzchniowa konsolidacja proszków materiałów wysokotopliwych eksponowanych na oddziaływanie z niskotemperaturową plazmą wyładowania jarzeniowego w rozpylaniu magnetronowym";"Bartosz Wicher";"2018-07-23";"2021-07-22";"
    •  budżet - NCN

";206600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Materiałowej

";"
    •  Wołoska 141, Warszawa

";"W trakcie realizacji";
"Metody klasyfikacji obrazów dla danych niezbalansowanych";"Michał Marek Koziarski";"2018-07-23";"2021-07-22";"
    •  budżet - NCN

";163660;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji

";"
    •  Aleja Adama Mickiewicza 30/D-17, Kraków

";"W trakcie realizacji";
"Wpływ otoczenia na rozpraszanie Ramana cienkich warstw dichalkogenków metali przejściowych";"Magdalena Joanna Grzeszczyk";"2018-07-23";"2020-07-22";"
    •  budżet - NCN

";102200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Uporządkowanie magnetyczne w przestrzennie zlokalizowanych kondensatach półmagnetycznych polarytonów ekscytonowych.";"dr Barbara Julia Piętka";"2018-07-23";"2021-07-22";"
    •  budżet - NCN

";1552180;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Wykorzystanie fukoidyny jako substancji bioaktywnej i stabilizatora w układach koloidalnych o możliwych zastosowaniach kosmetycznych i farmaceutycznych";"Jakub Kamil Matusiak";"2018-07-23";"2021-07-22";"
    •  budżet - NCN

";181500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii

";"
    •  pl. Marii Curie-Skłodowskiej 2, Lublin

";"W trakcie realizacji";
"Niskoenergetyczne procesy jądrowe w zależnej od czasu teorii funkcjonału gęstości energii.";"prof. dr hab. Piotr Magierski";"2018-07-20";"2021-07-19";"
    •  budżet - NCN

";1470400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Fizyki

";"
    •  Koszykowa 75, Warszawa

";"W trakcie realizacji";
"Wolframowa oksydoreduktaza aldehydu z Aromatoleum aromaticum - badania mechanizmu reakcji katalitycznej";"AGNIESZKA WINIARSKA";"2018-07-20";"2021-07-19";"
    •  budżet - NCN

";209450;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk

";"
    •  Niezapominajek 8, Kraków

";"W trakcie realizacji";
"Biologiczne badania efektywności i bezpieczeństwa terapii fagowej na modelu zakażeń kurcząt wywołanych szczepami Salmonella";"dr hab. Alicja Beata Węgrzyn";"2018-07-20";"2021-07-19";"
    •  budżet - NCN

";2019500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Biologii

";"
    •  Wita Stwosza 59, Gdańsk

";"W trakcie realizacji";
"Zbadanie zależności termodynamicznych nanomateriałów przy zastosowaniu metody Potencjałem Chemicznym Programowanej Reakcji";"dr hab. Rafał Pelka";"2018-07-19";"2021-07-18";"
    •  budżet - NCN

";1276800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Technologii i Inżynierii Chemicznej

";"
    •  Piastów 42, Szczecin

";"W trakcie realizacji";
"Symulacje akrecji na gwiazdy neutronowe z uwzględnieniem promieniowania w relatywistycznej magnetohydrodynamice";"David Anthony Abarca";"2018-07-19";"2020-07-18";"
    •  budżet - NCN

";99400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Modulacja burzliwości w układach emulsji ciecz-ciecz z uwzględnieniem wpływu mieszania i transportu masy na przebieg złożonych reakcji chemicznych.";"dr hab. Magdalena Elżbieta Jasińska";"2018-07-19";"2021-07-18";"
    •  budżet - NCN

";564200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Chemicznej i Procesowej

";"
    •  Waryńskiego 1, Warszawa

";"W trakcie realizacji";
"Analiza przepływów turbulentnych z fazą dyspersyjną – wpływ dwustronnego sprzężenia pędu oraz grawitacji na statystyki ruchu cząstek";"dr hab. Bogdan Józef Rosa";"2018-07-19";"2021-07-18";"
    •  budżet - NCN

";359140;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy

";"
    •  Podleśna 61, Warszawa

";"W trakcie realizacji";
"Promieniowanie grawitacyjne w czasoprzestrzeniach o dodatniej stałej kosmologicznej.";"prof. dr hab. Jerzy Krzysztof Lewandowski";"2018-07-19";"2021-07-18";"
    •  budżet - NCN

";558600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Projektowanie Żywności - studia dualne II stopnia w ramach Programu Operacyjnego Wiedza Edukacja Rozwój 2014-2020";"dr hab. Agnieszka Wierzbicka";"2018-07-19";"2020-09-30";"
    •  budżet - NCBR

";2185824;57;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"Inny program (Program Operacyjny Wiedza Edukacja Rozwój)";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie

";"
    •  Nowoursynowska 166, Warszawa

";"W trakcie realizacji"
"Badanie wpływu mikrostruktury i składu chemicznego na właściwości katalityczne porowatych elementów węglanowych ogniw paliwowych";"dr hab. Tomasz Wejrzanowski";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";1198600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Materiałowej

";"
    •  Wołoska 141, Warszawa

";"W trakcie realizacji";
"Ewolucja mikrostruktury podczas wysokotemperaturowego wyżarzania i pełzania wytwarzanego przyrostowo nadstopu niklu IN625";" Beata Teresa Dubiel, dr hab.";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";687160;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Metali i Informatyki Przemysłowej

";"
    •  Aleja Adama Mickiewicza 30/B-5, Kraków

";"W trakcie realizacji";
"Opracowanie metody otrzymania ultra cienkich drutów ze stopów miedzi";"prof. dr hab. ANDRIY MILENIN";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";431600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Metali i Informatyki Przemysłowej

";"
    •  Aleja Adama Mickiewicza 30/B-5, Kraków

";"W trakcie realizacji";
"Więźba szkieł fosforanowych zawierających jony żelaza i/lub glinu z punktu widzenia eksperymentu i teorii";"dr hab. PAWEŁ STOCH";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";991200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Badanie zjawisk konsolidacji proszków cyrkonu, z zastosowaniem technik ciśnieniowych";"prof. dr hab. Lucyna Renata Jaworska";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";871200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Metali Nieżelaznych

";"
    •  Aleja Adama Mickiewicza 30/A-2, Kraków

";"W trakcie realizacji";
"Hydrotalkitowe kompozyty mineralne otrzymane poprzez transformację wybranych minerałów jako hybrydowe sorbenty do usuwania anionów z wodnych roztworów wieloskładnikowych";"dr hab. JAKUB MATUSIK";"2018-07-17";"2021-07-16";"
    •  budżet - NCN

";558360;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Rezonansowe rozpraszanie Ramana w chalkogenkach metali przejściowych";"prof. dr hab. Adam Babiński";"2018-07-16";"2021-07-15";"
    •  budżet - NCN

";1260000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Ekologiczne stałe paliwa rakietowe do układów wykonawczych sterowania";"dr Katarzyna Gańczyk-Specjalska";"2018-07-16";"2021-07-15";"
    •  budżet - NCBR

";1259962;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"Projekt w zakresie badań naukowych lub prac rozwojowych na rzecz obronności i bezpieczeństwa państwa";"
    •  Instytut Przemysłu Organicznego

";"
    •  Annopol 6, Warszawa

";"W trakcie realizacji";
"Mechanizm dehydrogenacji i dehydroksylacji w chlorytach";"mgr inż. Małgorzata Izabela Lempart";"2018-07-13";"2019-07-12";"
    •  budżet - NCN

";65660;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Instytut Nauk Geologicznych Polskiej Akademii Nauk

";"
    •  Twarda 51/55, Warszawa

";"W trakcie realizacji";
"Usługi opiekuńcze dla osób starszych świadczone przez cudzoziemców a jakość opieki domowej – perspektywa polityk publicznych";"Kamil Tomasz Matuszczyk";"2018-07-13";"2020-07-12";"
    •  budżet - NCN

";64421;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Nauk Politycznych i Studiów Międzynarodowych

";"
    •  Krakowskie Przedmieście 3, Warszawa

";"W trakcie realizacji";
"Globalne powiązania pomiędzy rynkami surowców i instrumentami pochodnymi na surowce -- analiza danych o wysokiej częstotliwości w celu oceny współbieżności i możliwości pozyskania zabezpieczenia finansowego";"mgr Gilbert Ochieng Mbara";"2018-07-13";"2021-07-12";"
    •  budżet - NCN

";103720;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Nauk Ekonomicznych

";"
    •  Długa 44/50, Warszawa

";"W trakcie realizacji";
"Modelowanie gruboziarniste procesów biochemicznych z udziałem białek przy uwzględnieniu ziarnistych struktur wody i lipidów.";"dr Adam Kazimierz Sieradzan";"2018-07-13";"2021-07-12";"
    •  budżet - NCN

";570200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Chemii

";"
    •  Wita Stwosza 63, Gdańsk

";"W trakcie realizacji";
"Biopolimery jako templaty do otrzymywania nanostrukturalnych materiałów hydrotalkitopodobnych i ich kalcynowanych pochodnych do zastosowań katalitycznych";"prof. dr hab. Ewa Serwicka-Bahranowska";"2018-07-12";"2021-07-11";"
    •  budżet - NCN

";885200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk

";"
    •  Niezapominajek 8, Kraków

";"W trakcie realizacji";
